product_name,product_manufacturer,product_mrp,type,quickViewDesc
AGARO Tens Dual Channel Knee, Back, Neck Massager (20 Intensity Levels, 33536, Black),Agaro,4999,Massagers,Dual Channel Massager | Functions: Pain Relief / Relaxation | 10 Gel Pads | 24 Modes | 20 Level Speed Setting | Warranty: 12 Months
Croma Rotary Massager 8 Rollers (W288, Brown),Croma,7900,Massagers,Back Massager Seat Suitable for home, office | Helps Pain Relief/Relaxation and it has 3 timer functions - 15 mins, 30 mins and 60 mins | Remote Control Function | 5 Massage Settings - Pulsate, Tapping, Rolling, Auto, Kneading | 4 Intensity levels for having a gentle to deep tissue massage experience | 2 Years Warranty
Croma Back & Neck Massager (Heat Function, Black),Croma,9300,Massagers,Back & Neck Massager | Functions: Pain Relief/Relaxation | 15 Minutes Auto shut-Off | Table Top | 3 Preset Programs | 24 Months Warranty
Croma Back Massager Seat (Isolation Massage, Black),Croma,4600,Massagers,Back Massager Seat Suitable for home, office and car | Helps Pain Relief/Relaxation and it has 3 timer functions - 15 mins, 30 mins and 60 mins | Remote Control Function | 5 Massage Settings - Pulsate, Tapping, Rolling, Auto, Kneading | 4 Intensity levels for having a gentle to deep tissue massage experience | 2 Years Warranty
Croma Leg Massager (Vibration and Heat Therapy, Brown),Croma,27800,Massagers,Calf & Foot Massager | Functions: Vibration and Heat | Air Pressure Function | 15 Mins Auto-Shut Off | 3 Intensity levels | 24 Months Warranty
Hyperice Venom Back Massager (Nano-Technology, Variable Heat Levels, 101066, Black),Hyperice,19999,Massagers,Back Massager | Functions: Pain Relief/Relaxation | Digital Touchscreen Control | Portable | Variable Heat Levels | 12 Months Warranty
Croma Replaceable Cloth For Leg Massager (Black),Croma,800,Other Health Care Products,Replaceable Cloth | Durable Fabric | Machine Washable
Croma Full Body Mini Massager Gun (4 Speed settings, Dark Blue),Croma,7400,Massagers,Full Body Massager designed for deep tissue precision | 6 massage heads - Spherical, Ball, Bullet, U shaped, Shovel, Flat, Thumb | Powerful Brushless High Torque Motor delivers 3300 stroke per minute | 3 hours battery life | 4 Speed Settings press + and - to increase or decrese the intensity | 24 Months Warranty
Croma Foot Massager (Shiatsu Massage Therapy, Warm Function, Rubber Grey),Croma,16500,Massagers,Foot Massager | Functions: Helps Pain Relief/Relaxation | 3 Preset Programs | 150 Kg Maximum Weighing Capacity | 10 Mins Auto Timer | 24 Months Warranty
AGARO Magma Leg Massager (3 Massage Mode, 33511, Black),Agaro,19995,Massagers,Leg Massager | Functions: Pain Relief / Relaxation | Adjustable Leg Wraps | Foot, Calf & Thigh | Auto Shut Off | Warranty: 12 Months
AGARO Amaze Leg Massager (3 Massage Levels, Auto Shut Off, 33320, Silver & Black),Agaro,16999,Massagers,Foot, Calf and Leg Massager | Functions: Pain Relief / Blood Flow Control | Heat and Vibration Therapy | Floor Standing | Removable and Washable Foot Sleeves | 12 Months Warranty
CONTEC Pulse Oximeter (Low Power Consumption, CMS50N1, Blue),Contec,3590,Health Monitors,Pulse Oximeter | Functions: Monitors Pulse/Oxygen Saturation Levels | Low Power Consumption | Handheld | Convenient To Carry
itek Ozone Box Smart Disinfector (OD100, White),itek,3999,Sanitization Products,Eliminates 99% of Germs, Bacteria Through Ozone | Sanitizes Your Product in 20 Minutes | Removes Odour Along with Sterilization | Large Size Chamber | LED Mood Light with 7 Different Colours | Charge and Sanitize At The Same Time
WONDERCHEF Battery Powered UV Sterilizer (Multi Functional, 63153569, White),Wonderchef,3000,Sanitization Products,Device Disinfector | Ideal For: Household | Auto-Shut Off After 10 Minutes | Advanced Wireless Charging Technology | Add Refreshing Fragrance | 12 Months Warranty
Dr. Odin Neck Heat Pad (Instant Heat Up, Neck Heating Pad, Dark Blue),Dr. Odin,1499,Massagers,Heat Pad | Functions: Helps Pain Relief/Relaxation | Dual Safety Protection | Table Top | Instant Heat Up | 12 Months Warranty
Dettol Automatic Soap Dispenser (Aloe Vera Refill Pack- 250ml, 3192934, White),Dettol,999,Sanitization Products,Soap Dispenser | Functions: Disinfecting, Decontaminating | Foldable | No Touch Hand wash | Portable | 24 Months Warranty
voltmi Smartwatch (24/7 Health Monitoring System, 40mm) (Monitor Body Temperature to Prevent Coronavirus Pneumonia, Dr Senor, Silver),Voltmi,4999,Health Monitors,Compatible Devices: Smartphones | Ideal For: Unisex | Lifestyle: Workout |Health Monitoring | Basic Features: SMS, Call Notification | Health Tracker: Body Temperature | Blood Pressure | Blood Oxygen Level | Immunity Level | ECG
Arctic Fox UV-C Virus Germicidal Bulb Diffuser Bag (20 Ltrs, FEXUTBBLKWZ120020, Black),Arctic Fox,6950,Sanitization Products,Ideal For: Disinfecting Garments, Electronic Gadgets, Shoes, Food and Beverage | Load Capacity: 20 Ltrs | Foldable and Portable, 2 UV-C Bulbs, Digital Timer | 12 Months Warranty
STRACK Smart Posture Corrector and Trainer (Skin Friendly Hi-grade polycarbonate,Strack,6699,Massagers,Posture Tracker | Functions: Pain Relief / Relaxation | Reduced Back pain, Increased Confidence, Improved Productivity | Handheld | Posture Management, In-activity tracking, Data Syncing | 12 Months Warranty
Day-Pro Tech Household Oxygen Concentrator (Flow Rate: 1L/min, ZY-1Z, White),Day-Pro,41072,Other Health Care Products,Oxygen Concentrator | Helps in Breathing Therapy | Flow Rate: 1L/min | Portable | Oxygen Purity 93% + - 3% | 12 Months Warranty
OakMist Mini Automatic Sanitizer Dispenser (Touchless Sanitizer Dispenser, 95102, White),Oakmist,5990,Sanitization Products,Automatic Sanitizer Dispenser | Functions: Dispensing | Sanitizing | Ideal For: Commercial Places | Household | Restaurants | Shops | Table Top and Wall Mount | Power Source: Electricity | 1.2 Litres Capacity | 12 Months Warranty
AGARO Alpha Full Body Massager (2 Exercise Band, 33617, Black),Agaro,13995,Massagers,Full Body Massager | Functions: Pain Relief / Relaxation | 2 Exercise Bands | 5 Pre-program Modes | Speed Levels: 0-180 | Warranty: 12 Months
